Sample_Name,pH
P11T2A1,5.43
P11T2A2,5.43
P11T2A3,5.55
P11T2B1,5.51
P11T2B2,5.38
P11T2B3,5.57
P11T2C1,5.36
P11T2C2,5.31
P11T2C3,5.54
P11T3A1,5.13
P11T3A2,5.15
P11T3A3,5.18
P11T3B1,5.23
P11T3B2,5.26
P11T3B3,5.19
P11T3C1,5.18
P11T3C2,5.16
P11T3C3,5.18
