Sample_Name,Total mesophilic aerobic flora (log10 CFU.g-1)
P11T1A3,5.57
P11T1B1,5.79
P11T1B2,5.85
P11T1B3,5.61
P11T1C1,5.72
P11T1C2,5.69
P11T1C3,5.41
P11T2A1,8.04
P11T2A2,7.75
P11T2A3,8.2
P11T2B1,8.34
P11T2B2,8.04
P11T2B3,8.43
P11T2C1,8.3
P11T2C2,7.97
P11T2C3,8.36
P11T3A1,8.23
P11T3A2,8.11
P11T3A3,8.32
P11T3B1,8.43
P11T3B2,8.81
P11T3B3,8.64
P11T3C1,8.54
P11T3C2,8.15
P11T3C3,8.75
