Sample_Name	Meat_Type	Campaign	Sampling_Time	Lactate_Dose	Packaging	Amplicon_16S	Amplicon_gyrB	Volatilome_Analysis	Sensorial_Profile	pH	Packaging_Gas_Analysis	Total cfu.g-1	LAB cfu.g-1	Chromametry																			
C08TD	Poultry	n¡ã8	Primal_cut	None	None	X	X			X		X	X																				
C08TE	Poultry	n¡ã8	Spices	None	None					X																							
C08TG	Poultry	n¡ã8	Fat	None	None		X			X		X	X																				
C08T0A	Poultry	n¡ã8	T0	Normal_dose	None	X	X	X	X	X	x	X	X	X																			
C08T0B	Poultry	n¡ã8	T0	Half_dose	None	X	X			X	x	X	X																				
C08T0C	Poultry	n¡ã8	T0	Zero_dose	None	X	X	X		X	x	X	X																				
C08T1A1	Poultry	n¡ã8	T1	Normal_dose	Air	X	X	X	X	X	x	X	X	X																			
C08T1A2	Poultry	n¡ã8	T1	Normal_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C08T1A3	Poultry	n¡ã8	T1	Normal_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C08T1B1	Poultry	n¡ã8	T1	Half_dose	Air	X	X			X	x	X	X																				
C08T1B2	Poultry	n¡ã8	T1	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C08T1B3	Poultry	n¡ã8	T1	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C08T1C1	Poultry	n¡ã8	T1	Zero_dose	Air	X	X	X	X	X	x	X	X	X																			
C08T1C2	Poultry	n¡ã8	T1	Zero_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C08T1C3	Poultry	n¡ã8	T1	Zero_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C08T2A1	Poultry	n¡ã8	T2	Normal_dose	Air	X	X	X	X	X	x	X	X	X																			
C08T2A2	Poultry	n¡ã8	T2	Normal_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C08T2A3	Poultry	n¡ã8	T2	Normal_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C08T2B1	Poultry	n¡ã8	T2	Half_dose	Air	X	X			X	x	X	X																				
C08T2B2	Poultry	n¡ã8	T2	Half_dose	70%O2_30%CO2	X				X	x	X	X																				
C08T2B3	Poultry	n¡ã8	T2	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C08T2C1	Poultry	n¡ã8	T2	Zero_dose	Air	X	X	X	X	X	x	X	X	X																			
C08T2C2	Poultry	n¡ã8	T2	Zero_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C08T2C3	Poultry	n¡ã8	T2	Zero_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C08T3A1	Poultry	n¡ã8	T3	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C08T3A2	Poultry	n¡ã8	T3	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
